words,merged,repub_benshapiro,repub_charliekirk11,repub_danieljhannan,repub_DeAnna4Congress,repub_dineshdsouza,repub_drmartyfox,repub_emfingersscout,repub_erictrump,repub_gopleader,repub_IngrahamAngle,repub_KellyannePolls,repub_lrihendry,repub_meghanmccain,repub_michellemalkin,repub_realdonaldtrump,repub_sarahpalinusa,repub_scrowder,repub_seanhannity,repub_tedcruz,repub_tuckercarlson
congressional,0.06815189982388115,0.0,0.1057138326550029,0.0,0.0,0.16980811682798438,0.0735456350665588,0.09672115291614276,0.0,0.11017462678345176,0.0,0.13709898546750754,0.06648494116082707,0.06611133148221605,0.07860399308284861,0.135308842432853,0.0,0.0,0.0,0.2220906129700918,0.0
dead,0.24032512043158086,0.45339724075393484,0.3699984142925102,0.15842839036755385,0.08350033400133601,0.33961623365596877,0.4412738103993528,0.09672115291614276,0.0,0.05508731339172588,0.2975526296213643,0.2056484782012613,0.26593976464330826,0.1322226629644321,0.23581197924854583,0.3382721060821325,0.4378762999452655,0.16663889351774705,0.4527960153950645,0.2220906129700918,0.08673026886383348
per,0.13989074174375604,0.1943131031802578,0.1057138326550029,0.2640473172792564,0.16700066800267202,0.3962189392652969,0.0735456350665588,0.09672115291614276,0.07661074082586379,0.05508731339172588,0.0,0.2741979709350151,0.0,0.0,0.07860399308284861,0.0676544212164265,0.0,0.5832361273121146,0.3395970115462984,0.0,0.0
teachers,0.053804131439906165,0.06477103439341926,0.0,0.10561892691170258,0.250501002004008,0.0,0.1470912701331176,0.0,0.07661074082586379,0.0,0.07438815740534108,0.0,0.06648494116082707,0.0,0.0,0.0676544212164265,0.10946907498631638,0.0,0.0,0.07403020432336392,0.08673026886383348
killing,0.1614123943197185,0.06477103439341926,0.4228553306200116,0.10561892691170258,0.33400133600534404,0.2264108224373125,0.1470912701331176,0.09672115291614276,0.07661074082586379,0.11017462678345176,0.37194078702670536,0.06854949273375377,0.0,0.06611133148221605,0.07860399308284861,0.135308842432853,0.10946907498631638,0.0,0.22639800769753224,0.3701510216168197,0.17346053772766695
residents,0.07532578401586863,0.0,0.05285691632750145,0.0,0.16700066800267202,0.0,0.0,0.0,0.0,0.0,0.14877631481068215,0.0,0.0,0.1322226629644321,0.0,0.0676544212164265,0.0,0.0,1.4715870500339596,0.0,0.0
focus,0.07532578401586863,0.0,0.05285691632750145,0.0,0.250501002004008,0.11320541121865625,0.0735456350665588,0.0,0.15322148165172758,0.16526194017517767,0.07438815740534108,0.2056484782012613,0.0,0.19833399444664815,0.0,0.0,0.0,0.0,0.0,0.07403020432336392,0.08673026886383348
highest,0.1040213207838186,0.1943131031802578,0.1057138326550029,0.05280946345585129,0.0,0.0,0.0,0.0,0.4596644449551827,0.0,0.2231644722160232,0.4112969564025226,0.13296988232165413,0.0,0.0,0.0676544212164265,0.10946907498631638,0.24995834027662056,0.0,0.07403020432336392,0.0
keeping,0.1219560312637873,0.06477103439341926,0.3699984142925102,0.2640473172792564,0.0,0.0,0.2941825402662352,0.0,0.07661074082586379,0.22034925356690352,0.07438815740534108,0.13709898546750754,0.0,0.0,0.07860399308284861,0.20296326364927947,0.0,0.0,0.0,0.2220906129700918,0.17346053772766695
raise,0.0717388419198749,0.0,0.0,0.0,0.250501002004008,0.0,0.0,0.0,0.0,0.05508731339172588,0.14877631481068215,0.2056484782012613,0.13296988232165413,0.1322226629644321,0.15720798616569723,0.0676544212164265,0.10946907498631638,0.08331944675887352,0.0,0.07403020432336392,0.08673026886383348
