words,dem_AdamParkhomenko,dem_amyklobuchar,dem_AmyMcGrathKY,dem_aoc,dem_barackobama,dem_berniesanders,dem_funder,dem_ilhanmn,dem_joebiden,dem_joncoopertweets,dem_kamalaharris,dem_petebuttigieg,dem_rashidatlaib,dem_rbreich,dem_RepSwalwell,dem_senatorcarper,dem_senatorreid,dem_senbobcasey,dem_senschumer,dem_speakerpelosi,merged
protests,0.0,0.0,0.10117361392148928,0.1538935056940597,0.06250390649415588,0.0,0.0,0.2832540222071154,0.16147263038914905,0.0,0.1036591686534674,0.05994125756758376,0.21611108109568317,0.20989662591173847,0.2737026494416466,0.0,0.0,0.05618293162537221,0.0837205408346938,0.0,0.092445779149835
shows,0.09068649678062936,0.08225037012666557,0.05058680696074464,0.10259567046270647,0.12500781298831176,0.0,0.2675704602211916,0.0,0.0,0.0,0.0518295843267337,0.1798237727027513,0.1620833108217624,0.20989662591173847,0.16422158966498795,0.15643739896751316,0.06987143655673561,0.16854879487611665,0.2930218929214283,0.17653289396257502,0.11765826437251728
attack,0.09068649678062936,0.0,0.20234722784297857,0.051297835231353235,0.12500781298831176,0.04890932211679546,0.0,0.05665080444142307,0.0,0.20702505003105376,0.1554887529802011,0.05994125756758376,0.05402777027392079,0.052474156477934616,0.16422158966498795,0.10429159931167545,0.698714365567356,0.16854879487611665,0.0837205408346938,0.23537719195010004,0.12045965161948197
assistance,0.0,0.12337555518999836,0.2529340348037232,0.3077870113881194,0.06250390649415588,0.2445466105839773,0.0,0.1699524133242692,0.10764842025943269,0.0,0.3109775059604022,0.05994125756758376,0.10805554054784158,0.052474156477934616,0.3284431793299759,0.2085831986233509,0.20961430967020683,0.8427439743805831,0.37674243375612204,0.17653289396257502,0.21010404352235226
maga,0.0,0.0,0.0,0.0,0.0,0.0,0.35676061362825545,0.0,0.0,0.6210751500931612,0.0,0.0,0.0,0.052474156477934616,0.05474052988832932,0.0,0.0,0.0,0.0,0.0,0.042020808704470454
visit,0.36274598712251743,0.20562592531666393,0.708215297450425,0.10259567046270647,0.12500781298831176,0.0,0.35676061362825545,0.05665080444142307,0.0,0.13801670002070252,0.0,0.05994125756758376,0.10805554054784158,0.0,0.16422158966498795,0.3650205975908641,0.20961430967020683,0.28091465812686106,0.1255808112520407,0.35306578792515003,0.1792887838057406
weve,0.09068649678062936,0.041125185063332785,0.1517604208822339,0.10259567046270647,0.8750546909181823,0.19563728846718184,0.17838030681412773,0.05665080444142307,1.0226599924646105,0.06900835001035126,0.1036591686534674,0.23976503027033505,0.10805554054784158,0.15742246943380384,0.05474052988832932,0.10429159931167545,0.27948574622694244,0.16854879487611665,0.1255808112520407,0.0,0.2016998817814582
june,0.09068649678062936,0.0,0.20234722784297857,0.6155740227762388,0.0,0.14672796635038637,0.08919015340706386,0.0,0.10764842025943269,0.20702505003105376,0.1036591686534674,0.05994125756758376,0.270138851369604,0.10494831295586923,0.2189621195533173,0.10429159931167545,0.0,0.3370975897522333,0.0418602704173469,0.23537719195010004,0.14847352408912892
filed,0.0,0.041125185063332785,0.3035208417644678,0.0,0.0,0.4401838990511592,0.08919015340706386,0.2832540222071154,0.48441789116744716,0.0,0.518295843267337,0.05994125756758376,0.1620833108217624,0.20989662591173847,0.0,0.15643739896751316,0.06987143655673561,0.22473172650148884,0.2511616225040814,0.35306578792515003,0.19329572004056408
chinese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05665080444142307,0.0,0.0,0.1554887529802011,0.05994125756758376,0.1620833108217624,0.0,0.2737026494416466,0.15643739896751316,0.0,0.11236586325074442,0.41860270417346895,0.11768859597505002,0.08404161740894091
checks,0.18137299356125872,0.16450074025333114,0.05058680696074464,0.2564891761567662,0.0,0.09781864423359092,0.0,0.22660321776569228,0.0,0.13801670002070252,0.1036591686534674,0.05994125756758376,0.21611108109568317,0.10494831295586923,0.2189621195533173,0.3650205975908641,0.5589714924538849,0.6180122478790944,0.1674410816693876,0.5884429798752501,0.2045012690284229
stone,0.5441189806837762,0.041125185063332785,0.0,0.0,0.0,0.0,0.35676061362825545,0.0,0.0,1.2421503001863223,0.0518295843267337,0.05994125756758376,0.0,0.20989662591173847,0.16422158966498795,0.0,0.0,0.0,0.0,0.11768859597505002,0.11205548987858788
air,0.2720594903418881,0.041125185063332785,0.1517604208822339,0.10259567046270647,0.06250390649415588,0.04890932211679546,0.08919015340706386,0.1699524133242692,0.10764842025943269,0.20702505003105376,0.1554887529802011,0.11988251513516752,0.1620833108217624,0.052474156477934616,0.05474052988832932,1.095061792772592,0.06987143655673561,0.3932805213776055,0.0418602704173469,0.0,0.16808323481788182
miss,0.18137299356125872,0.41125185063332786,0.20234722784297857,0.0,0.3125195324707794,0.09781864423359092,0.08919015340706386,0.0,0.053824210129716346,0.20702505003105376,0.1554887529802011,0.05994125756758376,0.270138851369604,0.0,0.10948105977665865,0.10429159931167545,0.20961430967020683,0.05618293162537221,0.1255808112520407,0.11768859597505002,0.14006936234823486
county,0.0,0.20562592531666393,1.365843787940105,0.051297835231353235,0.06250390649415588,0.04890932211679546,0.08919015340706386,0.1699524133242692,0.0,0.06900835001035126,0.0518295843267337,0.05994125756758376,0.10805554054784158,0.052474156477934616,0.38318370921830525,0.052145799655837724,0.0,0.3932805213776055,0.0837205408346938,0.05884429798752501,0.1764873965587759
murder,0.18137299356125872,0.20562592531666393,0.0,0.3077870113881194,0.0,0.04890932211679546,0.17838030681412773,0.39655563108996145,0.053824210129716346,0.0,0.2073183373069348,0.05994125756758376,0.7023610135609704,0.052474156477934616,0.16422158966498795,0.0,0.06987143655673561,0.0,0.0418602704173469,0.23537719195010004,0.14567213684216423
looks,0.5441189806837762,0.20562592531666393,0.0,0.051297835231353235,0.06250390649415588,0.29345593270077275,0.08919015340706386,0.45320643553138457,0.053824210129716346,0.27603340004140503,0.1036591686534674,0.23976503027033505,0.21611108109568317,0.10494831295586923,0.10948105977665865,0.15643739896751316,0.0,0.0,0.0837205408346938,0.05884429798752501,0.14847352408912892
statement,0.2720594903418881,0.12337555518999836,0.1517604208822339,0.10259567046270647,0.562535158447403,0.19563728846718184,0.17838030681412773,0.22660321776569228,0.0,0.13801670002070252,0.0518295843267337,0.0,0.10805554054784158,0.10494831295586923,0.0,0.15643739896751316,0.349357182783678,0.05618293162537221,0.1674410816693876,0.6472872778627751,0.17088462206484653
mr,0.09068649678062936,0.2878762954433295,0.05058680696074464,0.0,0.0,0.19563728846718184,0.08919015340706386,0.11330160888284614,0.5920663114268797,0.13801670002070252,0.0518295843267337,0.23976503027033505,0.10805554054784158,0.0,0.2189621195533173,0.15643739896751316,0.27948574622694244,0.4494634530029777,0.0418602704173469,0.11768859597505002,0.16248046032395244
weekend,0.2720594903418881,0.041125185063332785,0.40469445568595713,0.1538935056940597,0.06250390649415588,0.0,0.08919015340706386,0.0,0.16147263038914905,0.27603340004140503,0.1036591686534674,0.05994125756758376,0.05402777027392079,0.15742246943380384,0.2189621195533173,0.2085831986233509,0.0,0.05618293162537221,0.0418602704173469,0.11768859597505002,0.12045965161948197
exactly,0.09068649678062936,0.12337555518999836,0.10117361392148928,0.20519134092541294,0.12500781298831176,0.04890932211679546,0.0,0.11330160888284614,0.16147263038914905,0.13801670002070252,0.2073183373069348,0.23976503027033505,0.10805554054784158,0.10494831295586923,0.16422158966498795,0.052145799655837724,0.0,0.11236586325074442,0.1255808112520407,0.11768859597505002,0.12045965161948197
conversation,0.0,0.12337555518999836,0.2529340348037232,0.0,0.18751171948246764,0.29345593270077275,0.0,0.1699524133242692,0.21529684051886538,0.06900835001035126,0.4664662589406033,0.3596475454055026,0.43222216219136633,0.15742246943380384,0.2737026494416466,0.10429159931167545,0.20961430967020683,0.11236586325074442,0.0837205408346938,0.35306578792515003,0.1988984945344935
antifa,0.0,0.0,0.0,0.1538935056940597,0.0,0.0,0.0,0.05665080444142307,0.0,0.0,0.0,0.0,0.0,0.052474156477934616,0.0,0.0,0.0,0.0,0.0,0.0,0.014006936234823485
